,A,B,C,D,E,F,G,H,I,J,K,klasa
20,-235.3204099926542,-409.20575351404415,713.1492979582706,-344.88148600294335,348.3080376615477,80.08068787212038,-40.96188150786412,-231.9474590785411,103.85048133675657,-498.4378404588301,78.6971876173316,1
21,27.81125177159055,-323.0969879067207,134.6218930576077,85.5593016876715,254.6442889571879,79.29013189854074,443.74112783198495,-33.38057779554001,78.29291912741313,116.34321888166812,78.81761049678262,3
22,-242.20827228901044,-424.0015087597721,329.0547557728187,-289.1161743135017,502.3887602665035,80.47873805471806,-44.09344892881123,-149.8096843321095,-116.1302341113162,-291.7256800143809,77.33889982682243,1
23,-295.6638991382248,-293.7942810008153,324.71904518846287,-215.3237537970207,166.13222956338396,84.09127610262264,53.78223952464248,120.51973701541925,-127.88063457719038,67.16743338351978,83.60083984007791,0
24,-289.86628231061246,-132.8382790652454,764.1435148676316,-319.3953030821876,358.0155833487129,82.16787828074712,-88.25350607082942,-119.9858315756347,-124.88254451814339,-232.8328600203074,85.7097253165592,4
25,-291.6925232967014,34.80033742271006,440.9216051334745,-198.14878610173918,416.0760263469723,84.09382580886226,33.04800470630778,19.158978315161683,-32.06634477840877,68.49152594353399,83.90237023142106,0
26,-290.2417125168386,-72.37338913616664,268.9194427088169,-70.99804985700656,368.4365054377039,84.66340263415502,44.011702866983455,135.15930162388625,-29.229403852771267,364.27949751785263,84.20693306624652,0
27,56.2533305303925,317.3718048017077,216.60960510968386,-4.787866344601298,414.04894508966606,78.30471708265986,492.8599277641238,-138.43797669636135,-90.29455756952981,-395.3943318848452,78.02472813582202,3
28,33.264566675894685,-125.73649873320966,346.71428041632936,-150.89089223268016,333.48002483749144,78.07034094493551,468.0468599365336,-143.35354276469022,-98.67743967275334,-517.1086279805113,78.01079021474004,3
29,-281.32098655708586,-189.03397239498202,243.11817742554118,-109.93187998021028,182.75772031821816,84.30448048227281,58.13154274756471,90.10482945458142,-25.448781984287407,177.88698549147497,83.56266974943158,0
30,22.106962134494978,221.4895269577898,522.268314557762,-126.80436753374667,372.01217647996583,78.40348900498684,435.05111537476716,-162.87768310771472,-34.256913577470534,-344.1009062111909,79.14248403021995,3
31,-290.0687671575288,156.22722360181538,746.6538841607378,-234.32013149998517,103.80550270032649,82.57209143170442,-78.15572264672608,-22.02344378166969,-73.15389683938251,-22.920197327486292,86.53786191300377,4
33,29.320797670214688,251.91326763822428,571.1706780760969,-272.3567178799046,115.36039648999903,77.57662631364587,469.8294912515803,-185.69014845669665,52.21190974431276,-773.5004663434249,78.34416471615724,3
34,25.769898617796997,-31.84439671588078,366.23532800594216,-153.5443268215594,350.55207702492623,78.20552453335063,472.1717874675457,-67.44972480269763,-158.50022386139625,-446.9061941176281,78.4711051704926,3
35,36.26848968561288,132.43211699959258,241.16886170077424,-107.89934425431807,128.36087324644367,78.21340252637857,483.97783779218634,-77.5503111705369,41.91514217238124,-442.8150593060708,77.93833542799031,3
36,-265.41631168737973,245.86244578279866,694.9918150499452,-126.48275685923761,303.0279278430732,82.59367298747117,-84.22912885890366,-176.02881292294998,98.82080239068165,-11.712640558686019,86.09247888574892,4
37,-248.83185998223905,-109.66851272660335,376.913344157113,-1.2538152853219628,244.58608454790465,84.17561222684012,70.31878305103463,-57.249945490495605,2.4712571870028768,110.96417862487746,84.09028921698558,0
38,4.354149471052864,131.69628308503817,364.5064427929783,-280.8927661836161,485.2913251150768,78.02838372314869,444.34086284602967,-84.37842740061342,63.642906583606276,-538.8975087321747,77.7926765267549,3
39,-159.187950505674,-297.3700063007641,185.2747064337388,-193.35265942019575,52.94990956133111,80.28799070310941,434.73822312238553,165.19341062497824,-149.78241328651103,-119.55995801178014,77.48172341287793,2
40,-304.87028376382705,-42.29873060955326,395.4266495853728,-210.50592976825422,363.21292446734054,84.29533281331385,22.624209982783157,79.06901412651231,-128.18737318117337,173.13649297518242,83.93493122235678,0
41,-263.6542646387258,337.3270519322424,194.83391465279016,-42.664346165002954,73.63025334013375,84.27284601625271,31.618810439939523,-112.71568442201826,60.595448048580465,161.45883371210672,82.75101083792076,0
42,-124.22467175806045,-149.86673940319915,277.1698565229658,-160.50485200570506,217.37412170664263,79.7536423268421,465.84979000963557,19.646428421491848,-61.50670368752773,-397.0533799902815,77.29190459145677,2
43,-208.21423123008455,-434.2761905361489,550.5852389401189,-203.62218833233322,283.4954149675617,80.21115261679414,-16.73719898384161,-266.4813528947758,-153.03056795452824,-430.68595787621786,78.30923181451243,1
44,8.764440664386285,-333.42525644498,316.99810499847604,-206.19540641632221,197.7651579466974,78.29289117580683,438.66960154778184,-92.3900627045175,18.634348722166216,-401.535664967155,77.9280528829906,3
45,-289.970964239909,284.2580541453917,781.2131123955842,-315.60467283600667,463.3266040420659,82.18777327463754,-81.22922607635508,-89.40236728723663,88.37793628388687,-222.50115475068927,85.94940054090661,4
46,-234.62222307767047,43.69981877059509,436.01543115013766,-278.4569465437115,503.3660296817525,80.3794160733691,-28.39412579421071,-144.39688282955797,-61.86437728530946,-343.3047578338681,77.9421484620644,1
47,-140.00395525689677,-104.81526436312788,41.5496961996929,-243.78922719828472,247.7486042333097,79.67274001385738,474.85541891130725,128.4245586672625,-40.14093789179735,-439.0669065081878,76.0621820983458,2
48,-310.89926791662504,-443.46493246670343,348.6543838538401,-341.2604043272455,135.4635913326772,83.79900577054215,49.966824297634844,146.52932067530898,-28.23407721670587,-84.61200152064131,83.18650229002264,0
49,-256.70517503565964,-340.081958343871,628.1369338890659,-214.55589685818086,226.78805826478745,82.0077116901236,-42.88117261576312,-147.09286325774514,-98.56532411245728,-316.0092619572273,85.2140676599588,4
50,-237.70613741504326,-209.09821896886615,161.87862092273207,-190.33181909967502,277.77853150838627,80.85474965058646,-38.19683427913631,-97.62679686716815,-100.41017292193109,-96.45841791471821,77.21068117960525,1
51,-146.92227551607166,-344.90148771105464,188.49679968743993,-148.7597810190824,440.1585373602539,80.25610264683267,422.0354364431173,45.02555199635259,-9.685656384865757,-136.11980220610357,77.18785952105542,2
52,-253.9718853968287,-351.6938081317932,189.19961979819303,-220.4434479459918,266.6842298767366,81.03357543106132,-86.98943012122885,-172.64232426348212,-74.21549210463957,-3.5920783394236224,77.01994654430855,1
53,-163.67793875109138,145.9058875531852,220.17511394847975,-280.21089539676194,81.41533543892893,79.96784445678686,449.85505571585855,202.21721134780668,98.3258350160371,-285.8156843717937,77.31794278427522,2
54,-290.4381560988185,-307.17027757312957,413.11016630998654,-155.22492735394334,117.42738565622668,82.95146119143475,-80.50284384452607,25.151781112832836,84.3373511826609,174.09099892262824,85.40282783654507,4
55,-242.67402031716347,-79.00365015829529,585.9571095310382,-390.82969036770754,127.34467124486258,80.0094183495691,-40.3496707184587,-199.92001794367076,107.01548757912431,-535.4489451498912,77.91025392528682,1
56,42.27172576776158,-57.71740357559837,270.93777516800697,-54.695734207424536,185.64388632972395,78.34541025111989,478.89960559827085,-110.84899968601098,-136.31348397266095,-374.2618889531439,78.24603108520994,3
57,29.840229485082006,-450.0850363159606,564.9050801186013,-246.68043230355465,127.44436743569412,77.68718233575323,469.94456400775425,-172.24972038259884,-7.789260979923821,-716.0874184939913,78.51919174847873,3
58,-270.89295959489857,330.798069727971,20.844052053439185,-19.95125527733107,441.69741714873805,84.52231929208465,91.37904367990345,193.35144453384788,67.26213808805572,291.0132519109085,83.22865916006808,0
59,-184.86569970053736,-131.1682500706238,218.69662960838886,-306.475130876458,462.5576560537928,80.26174739026861,400.6730405543172,168.82596653107763,50.506302306926884,-133.18842028037963,77.2044986374561,2
60,-294.16666423301456,154.2800972666445,304.4963865620593,-167.69291104470153,437.6098773512085,84.28584860527592,58.0769265641446,156.84351298122903,36.43248785592882,168.21123174095467,83.91916147593906,0
61,38.91141621256918,305.1868922296852,368.3679011191932,-165.16897032585882,43.854463606007755,77.89191282844614,490.7330802405862,-111.71793009831718,62.34192929907525,-609.7684559520777,78.1147856991816,3
62,-235.10341339282354,-73.88962818738025,280.3306922847986,-284.993669095835,188.33115323239446,80.35814584224437,-18.27468528657988,-105.68733828466948,-141.48868802856725,-354.3506400396071,77.21028725910948,1
64,-248.9406452720674,-62.4489284481284,633.2336221349613,-126.86591221490333,298.34528669197687,82.26725299260053,-24.189446023209058,-79.75232483353287,-32.55183206673217,-181.22639862715357,85.98765866116553,4
65,-6.793355751458677,-47.52009421441743,381.591777768529,-314.7682631930892,267.22732629672555,78.08865899753141,440.6744879694352,-29.529236925968405,-145.97213512556164,-507.5958469474153,77.99384900217858,3
66,-228.9429902748409,-215.11536768380742,646.0600122806554,-216.9565798878538,423.2242194534058,80.5568384547704,-41.08493383146444,-198.8917679621025,89.25686418718757,-251.16721997038167,79.20399438087385,1
67,-282.7399284202399,-356.7482101207977,313.3385186475251,-127.91394556765944,52.638698429273944,84.247843692476,19.05938603917582,-61.44234156878548,76.1391520681844,148.47483171946854,83.24243535860826,0
68,-268.712434721189,346.5904685591394,209.6615722791807,-43.03802394455161,348.8524859813858,84.37074844379313,83.10384998936719,127.84911555661202,-89.21575183970047,212.300720475135,83.83417794886914,0
69,-244.35300991054527,-189.23263415221285,521.073010733407,-371.50518080835957,209.32166421152743,80.13340853186631,-53.7483511178159,-224.91790369430072,6.244797520831479,-471.0593792682904,77.59238614084754,1
70,-259.2413631232094,-301.4659661251609,531.5531150858443,-106.90454566937221,394.3108078386937,82.56411174786115,-70.02403483068338,-158.7725104520174,-40.034141495474444,-27.064141380328834,85.33565430200673,4
71,49.09022141688959,235.45182106034207,617.9587664468245,-127.70552205329237,300.79724922086945,77.86760268874094,478.42829910244313,-217.9531967560203,-90.84757461258465,-622.3929985822847,79.19540893856315,3
72,-296.74448656653436,276.1804590608831,509.7309884976577,-251.17070566185043,196.57170367225302,82.62435104845443,-99.73824267417251,-61.856972684431646,-101.18549515647058,4.218838790761481,85.041230914193,4
73,-226.9369097384134,-100.63730080119035,113.75575449598688,-124.32071321670415,374.19758483835716,80.95310476221874,-15.099475120667961,-52.5786037064224,-76.49800792263179,-45.381446956976916,77.44238840527656,1
74,-250.17137470831005,227.5105721409538,271.0885396383216,-235.53156836768613,188.82766208461538,80.88771471726758,-47.19960717005736,-60.18402591822999,53.562395745408594,-79.33926949885766,77.78646475670733,1
75,32.933284835100494,349.15363737623403,274.2823837484347,-158.22331170699118,375.3502210673979,78.04237385135875,470.33377084655604,-136.71157550482855,99.67573729730213,-531.6322699416228,77.59915921124899,3
76,33.81925252087257,-171.218914510511,56.7253648179628,-56.743157000065004,134.5543285446166,78.50231621973663,466.3028892496311,-91.33011804569495,39.154258743329386,-292.7787665294086,77.21843087188172,3
77,-275.94426120132454,338.68692197665604,281.8408320199789,-73.08729156129657,159.3955669986455,84.37187364101534,58.49124001550902,71.9958484526556,31.6228034392838,212.88504868021386,83.88327608202165,0
79,-280.9572950463818,-128.5989005457185,218.28456313904343,-75.04946069974355,324.4831686150889,84.46141393247332,59.95138020201844,117.61584893019548,63.366234733302875,259.38437942618964,83.75134291536332,0
80,-246.85470271920227,-256.10775047551545,350.6124565567018,-232.27561978882218,172.6374784908772,80.8376839749919,-63.145583552318925,-146.99436217267316,35.29959576701825,-105.32082478154132,77.86480535427144,1
81,-161.9622815163569,-110.47172621638,26.217011240588363,-223.6248137402182,446.4865897245936,80.20024202160532,420.2847109136103,111.7711471976721,44.21991169988358,-165.128884551368,76.2367683263093,2
82,-230.4646114255726,-125.14242381081723,482.53998546481733,-202.12143863479457,301.9722815011624,80.65660845862175,-38.59352251994912,-166.74069929787618,-104.80650594978653,-199.3554787746562,78.54611876822698,1
83,-246.3579355861374,216.41531835929834,505.01748124052267,-312.6724655306239,363.9030554692149,80.44968112121602,-75.9240755398406,-254.60277999539915,45.84604280125393,-306.8152887187405,77.77201505212493,1
85,-150.15270107738561,-366.6687484761906,176.47578473531908,-234.35133094479028,248.38325491145577,79.91709837063854,445.55196924717757,105.01798392581176,40.81198816498791,-312.1687261751243,76.8560547340272,2
86,-263.2510748701361,-405.3506996205382,623.1714621650145,-245.30890440382973,83.4143649167925,83.31159053156485,65.61191472221955,-120.87593134061518,-109.89439695854512,-337.73249106549446,83.78699605095152,0
87,-232.38001133239567,-52.849203205442876,303.41915273103643,-184.53559048731523,281.20314170814515,80.77707731989443,-33.95279685665258,-121.18165999486257,-8.508803781983541,-136.79457648478464,77.87728079252916,1
88,-281.58480884300076,-149.60399551675468,257.19077638892475,-105.50444370777683,392.2110138980487,84.33050675412322,69.12158934926035,137.76775810450675,-143.82574076297692,191.40273581069823,83.85947798680463,0
89,-127.42386505254494,320.4304577423279,25.82450604379011,-168.09495941640984,235.27048864054223,79.78096899231187,480.9596614032162,99.3390887097083,61.42698774844341,-382.8623199080197,76.21932163319244,2
90,-223.51122524542365,-308.7487491371787,403.91140756630256,-226.5123151274587,201.970222536461,80.40486368185401,-19.175606656304524,-165.31269074680466,13.110203143960717,-330.0895142338498,77.90743149225949,1
91,-299.95325310352075,-425.41093434434805,573.14476750819,-228.63373322693718,41.446726407663846,84.113173738428,30.199725447970934,55.67553843723746,83.77330326432921,78.5391342490046,84.65390987141204,0
92,-253.91544933839995,-125.643129206647,475.85534398318225,-245.70248724303235,235.99282461700534,80.9136360473836,-63.21484329807703,-98.13638758770863,-23.80620667419674,-65.87801666156784,78.72310998584477,1
93,-272.92805444676605,279.3462195781458,387.91209880262795,-147.0083235295276,91.89588762585257,83.9646951724147,64.99902792926575,22.594048589288974,-153.90418887616286,1.4324615174267592,83.77633037281966,0
94,-274.4549872069514,-454.49333593356613,684.111304893247,-158.93424687929115,348.4397077944489,82.61909734899312,-74.68022177377759,-86.473060380705,-7.399258817272653,1.4905306189470764,86.26916053652653,4
95,-265.27195070581826,324.5677066799995,349.5715320600367,-311.11961419885426,172.51007758162112,80.82964618452559,-74.65394516992319,-92.85163449492403,-4.055807163586426,-109.49494428991582,77.74918310019403,1
96,-316.9069409930218,-370.5342784106711,369.89045885391783,-320.01824129907493,220.55449085904786,82.69772565849333,-109.6989171868862,19.37275845751597,6.800784169925869,42.32314027336341,84.35426979429519,4
97,-267.3056093739402,205.4871523821971,120.1852022905159,-295.8965952194046,349.2785887073418,80.9413294977448,-65.75518290654674,-31.437339695976338,58.807953950971026,-51.49648085378121,76.85552011498034,1
98,-241.13318339230534,-33.06429493251014,342.3252226160989,-175.70209188309747,173.4463129959925,80.99109560380147,-63.405079692586526,-157.06579771568292,-138.34215628836313,-25.652354284752732,78.08097411464841,1
99,18.026467159830446,-376.53615418263956,103.04156012934627,-80.10070855088,45.90692913023264,78.70359685372178,452.45049875231456,-30.543240172226934,-160.4160069940192,-188.2513563542201,77.7105249386228,3
100,-294.1289203009178,-244.01176966375814,188.5453524711334,-7.1381819308207355,398.9912540283409,83.7208320440142,-111.93622916768709,33.588946094111755,-104.84094898101146,573.6343682581179,85.16909276601776,4
101,-235.99937482265688,20.36020383579843,358.818465371559,-189.33591879314912,163.59614930550134,80.82580663868684,-30.46739335988579,-81.1165622549057,54.52761234652101,-111.48886578562619,78.34209007920755,1
102,-279.2547316075647,-191.86138286456824,201.761240866273,-105.06053988521376,399.1816000616122,84.28668588438873,58.35236567227864,77.21662865956951,-69.67077359048749,168.6460406717708,83.29731431020845,0
103,-254.33274114620954,124.32927526056028,830.3243831385123,-272.2293371969083,256.2034408368159,81.68965178183628,-64.36645579980578,-288.5430136710847,-118.25460666300157,-481.181528337735,85.37211621390774,4
104,-262.66809249461653,-158.22124358830348,415.09648125605565,-134.90821031346513,477.90311090713067,82.49988894575539,-60.42581013995684,-112.25889497936589,-129.5930182155442,-60.41580092848229,84.74158016477192,4
105,47.0184859340815,120.23897589474038,342.1490084733761,-139.29392918992096,499.5604503793387,77.8539058154326,478.4352769231915,-208.65761886428933,-63.25684357694287,-629.5059466392944,77.6735574590093,3
106,-259.1522964844321,-28.554942481112906,444.6184595203368,-21.536183254965266,97.64800996975879,84.28353876961094,79.00125601220385,47.69890300615113,-90.15061577609175,167.0117068030167,84.84481393338388,0
107,-240.12654542504717,77.18885839231652,474.3603889839571,-288.6422202331536,185.7602178951468,80.43995176080163,-56.80699990030118,-215.8159235762293,-92.87016510857669,-311.86786047709194,77.85297346718563,1
108,-153.1164024542423,29.998110086211497,172.84889135883913,-222.26415565209658,161.61754243987343,80.03235405582743,428.7900500058595,72.72368127456227,43.58186482760762,-252.31508778858463,76.80985411427217,2
109,-275.52879339798005,-138.981373866205,312.32228434522875,-23.007271020813576,221.12428496133197,84.59928182932802,55.46762637725314,90.56939420276483,-149.30318200763537,330.98080636105675,84.43266264021597,0
110,-256.30832685626115,98.59266421607214,234.12352272507303,-214.55088608873422,508.2227885332574,81.10733066431136,-39.74201574790203,33.327615926866734,86.47154656742849,34.70988527155352,78.14399043376058,1
111,-149.5235774522453,270.61488170382125,0.3341393408569502,-160.0407724513562,281.6107919872499,80.25428593105529,435.8099160548676,112.14485588138083,-3.541048820240423,-137.06324416310315,76.38153241159962,2
112,-274.78504457420956,-222.42110710009047,482.95676557311083,-226.24390194618582,342.042997562476,83.62853104364756,35.39760138414579,-129.9192062784847,112.52193787550993,-173.14154035312137,83.20914968440822,0
113,-292.5360033007935,217.03623198074206,455.7026411691803,-164.263748164313,94.63366501430727,82.95027294690158,-101.34626378175727,-44.27500532687866,-61.6965190550634,173.473929504436,85.32110805265272,4
114,-295.7486399917152,-350.36339604311223,632.923075323528,-343.793535276003,484.2232453140346,82.16899956821514,-81.78315028859066,-62.91891094189297,68.42822833834437,-232.25056219674804,85.12187569317324,4
115,-232.62600661653573,275.2272883394247,456.53815739367565,-302.60681806644277,55.64078925933785,80.22647541419175,-17.04999746645285,-133.20559262297465,5.463752774099621,-422.72864823891445,77.92987269474777,1
116,-293.7979829966514,120.81094067478793,262.7986343047112,-135.0939196957691,363.4445225380004,84.43194169305448,31.472349511961454,72.82704260181947,-65.15904506747067,244.07909745483772,83.55698252391696,0
117,-292.20388541988416,-398.6671555522044,254.61847935142933,-84.06157216542033,60.12500241499583,84.64060760413122,53.71168836859627,180.05414200361375,1.8546858291257386,352.4417692373035,84.24398935397184,0
118,8.715045045952024,170.76071464486577,174.6771512824625,-153.54377573527992,279.9764971508259,78.5415562573509,443.5890696737039,-37.53229153738371,-17.494446674548485,-272.40095160609536,77.69922533725746,3
119,8.247109232671988,-397.8557531314781,228.6397708593495,-153.10620973832005,216.3462708942314,78.55283438884703,440.27835527000707,-46.189938759460595,-156.2096025174513,-266.5440847353674,77.96619599866973,3
120,38.47579606459095,42.759644887266745,124.34504054439935,-26.47553907414492,237.30842828541034,78.55295861919072,466.29644629003354,-109.34798723220602,59.51171353306681,-266.4795704508437,77.66255293834428,3
121,-241.3215718453149,-157.05790261798603,337.2459614259831,-205.9865582884044,155.58612690742444,80.85233857725865,-62.210516439638894,-171.26729705208217,73.58139978164772,-97.71051676649557,77.80922242721279,1
122,-161.16836480029806,-148.28818291897653,227.49274722889345,-248.0019147593187,150.04039281298384,80.06992111987901,449.0797491637376,200.21574924294708,25.09771164183477,-232.80606779271267,77.52834539052503,2
123,-276.2777354181625,116.0498688074344,213.30673528484357,-226.16075747338306,62.40356681948151,81.44616788897405,-89.76230675353389,-3.482909984377766,-34.297420603585046,210.67205740755918,77.99187100747086,1
124,-4.007832802857678,-119.04392911232152,401.00938191143405,-304.5567134359368,397.4752612341763,78.08181500434675,444.03281452467706,-32.61297957796388,47.34536516007128,-511.15001342973,78.12609924138184,3
125,-286.10664914905874,-30.563821836142026,306.16011199271566,-315.4572043151246,47.714066859082976,81.2197434582531,-86.98146496223126,28.159326138979175,-96.93240261127616,93.0871766614203,78.1560159053162,1
126,-232.8291012365662,-21.3021002489476,387.23511648596525,-306.2752220021111,315.0528487082232,80.21321948954714,-41.48002141749649,-228.4999104484406,-151.28936401483614,-429.6126064476361,77.15075988511163,1
127,-252.95013948429295,172.16722007366948,435.47732155395136,-382.4757338086282,80.12013123107988,80.25118708885982,-66.55808896543357,-211.03457361847006,-75.33361380795193,-409.89558376071017,77.18985301270651,1
128,-297.32960462459477,-315.2890823629134,828.8855815103439,-278.3324861828835,375.1827465444083,82.50810093986219,-96.43217602161872,-62.52220383526054,76.17002670671913,-56.151215412408206,86.61608002639005,4
129,14.35089721095352,-348.5517886034868,160.23499893179553,-148.09447154808166,315.63438017873256,78.45614938685698,441.37142553927066,-88.866563984193,22.778290720157948,-316.75374803337985,77.39883649982636,3
130,62.086030064255425,-237.11405855105653,580.7762438503269,-173.0866964421511,143.93428859538875,77.39805923329341,501.35303994799887,-266.8525398274004,72.21044885106316,-866.2324598901347,78.39656410333092,3
131,-304.46211406318025,-233.88667237046283,-78.04233622599384,38.69206670576489,424.78997688447964,85.45960600688119,11.275605116298152,199.45773904546576,108.10097792757546,777.757311433923,83.38333042631827,0
132,-143.20343989486852,-165.80744534888822,279.0308393854144,-269.7196840919563,145.48922797017138,79.61379294478733,463.346351494744,92.81473647325477,75.62490254432277,-469.6788155891404,77.08335732123966,2
133,-4.549011804084216,345.5392320030611,502.0874210822753,-346.8923181496672,49.938008720601545,77.89331614868892,442.6168504228348,-62.11396260271028,-35.1722556091664,-609.0396951780248,78.30067020812784,3
134,-268.2288585283442,-156.00851813050292,414.7458410188916,-147.54634042000646,319.7752407325599,82.54999763236879,-42.252890260356025,-4.661843929441499,110.17707182306435,-34.39376823076053,85.13990238050822,4
135,-242.3102520597327,112.28878255768137,166.90395144147672,-170.99580506482516,357.90166753157956,81.0364272386418,-27.381093238780778,-4.857623015192001,-5.6980553242203555,-2.1111009855488874,77.7702740878627,1
136,-299.2131382564471,67.47722384118872,507.68876793058644,-246.99337554377104,167.85856841252885,82.69264214407332,-110.32270805053798,-79.65496190114052,97.36649048481353,39.68321120323334,85.0075771380951,4
137,-300.7365654355076,-432.38354959353063,391.4504807275831,-303.50678535275426,260.5231632467461,83.77637796565193,47.775986977785294,79.74426487067292,-42.00711808280026,-96.36288781454162,83.29770198480728,0
138,-138.2565658246899,5.054281343935301,220.4460922419177,-206.7725001021921,63.98327676948958,79.81245121577763,480.753868083744,161.75074771449619,23.363492018433078,-366.513229484967,77.38672913701197,2
139,-157.3634147785451,-306.9050171762344,-196.4147936391704,-204.86805131854464,164.6360341218619,80.1978696926417,463.85840407439866,255.0593516051727,-103.04940229887953,-166.3608629972842,75.66833731417475,2
140,-165.5213609641237,-197.862776582972,348.47127801439365,-329.1569581489396,510.53304565330245,79.77390556998348,428.5706444315868,102.14115147793586,11.511002723099637,-386.5304385359368,77.33027528815273,2
141,12.47912540729439,-230.31762126468524,286.1583308049333,-92.79886746347634,510.02273668658955,78.75315864712438,431.8839580584472,-72.94760865746534,-7.112993112157628,-162.5133317591958,78.51180285428919,3
142,-143.7338875309614,-46.259442223172194,251.06368150629032,-181.25099820948807,318.1723126407751,80.04043218422365,443.82820306854455,81.20234701585471,-78.35328771369063,-248.1200203168538,77.44174741077154,2
143,-266.4308778715781,-311.35421754612804,425.73510356175495,-114.78479801492078,326.03519980671626,82.66869415314117,-92.79352761114376,-192.93052294152506,-114.81306917641673,27.246736707529465,84.63784102320669,4
144,-164.49951074506225,308.8054023814647,244.435793647331,-337.3864037925647,119.83893991761883,79.71505799796736,466.77883182873046,235.98325959966195,68.00968695618788,-417.09067762181377,77.23528860435589,2
145,58.18887469413261,-181.7546035005996,38.701470894985164,95.36887554727866,235.56424228682783,78.73775400786965,508.18775764644704,-27.709529733542492,47.9813677577453,-170.51314283937307,78.1030760070544,3
146,-286.83638077061556,-103.16294324201077,447.5703592479715,-215.86257104733403,503.70427560757634,82.59523510126816,-84.42866421755014,-60.49572280976098,-109.31929547533873,-10.901416416723997,84.83824999931315,4
147,-136.93178919425424,109.84640573131111,329.0296197844348,-176.01121039705203,296.40031360807063,79.931061307565,439.88273767561986,13.437344893136789,-62.79168248405045,-304.91760813925066,77.56834133679622,2
148,-311.2966734890957,-456.3720879589787,252.34399872866908,-249.8476998680059,465.822351610852,84.23687340495671,26.466146656848906,120.39661122603565,-25.798772151848244,142.77783186128562,83.13120775280856,0
